"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation all items from product cart","805","Validation all items from product cart","Surefire suite","Mon Jun 16 18:15:42 GMT 2025","passed","Mon Jun 16 18:15:43 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"","550","login","Surefire suite","Mon Jun 16 18:15:38 GMT 2025","passed","Mon Jun 16 18:15:38 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation Login with empty Password","548","Validation Login with empty Password","Surefire suite","Mon Jun 16 18:15:36 GMT 2025","passed","Mon Jun 16 18:15:36 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Check Locator","1077","checkLocator","Surefire suite","Mon Jun 16 18:15:22 GMT 2025","passed","Mon Jun 16 18:15:23 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation continue button","683","Validation continue button","Surefire suite","Mon Jun 16 18:15:40 GMT 2025","passed","Mon Jun 16 18:15:40 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Locator Validation","584","checkLocator","Surefire suite","Mon Jun 16 18:15:30 GMT 2025","passed","Mon Jun 16 18:15:30 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation Logout","768","Validation Logout","Surefire suite","Mon Jun 16 18:15:41 GMT 2025","passed","Mon Jun 16 18:15:41 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation your information form","935","Validation your information form","Surefire suite","Mon Jun 16 18:15:27 GMT 2025","passed","Mon Jun 16 18:15:28 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 18:15:14 GMT 2025","unknown","Mon Jun 16 18:15:14 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Validation your information form","922","Validation your information form","Surefire suite","Mon Jun 16 18:15:28 GMT 2025","passed","Mon Jun 16 18:15:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation your information form","1293","Validation your information form","Surefire suite","Mon Jun 16 18:15:24 GMT 2025","passed","Mon Jun 16 18:15:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Login with wrong password","567","Invalid password","Surefire suite","Mon Jun 16 18:15:35 GMT 2025","passed","Mon Jun 16 18:15:35 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"","550","login","Surefire suite","Mon Jun 16 18:15:37 GMT 2025","passed","Mon Jun 16 18:15:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation login","571","Validation login","Surefire suite","Mon Jun 16 18:15:39 GMT 2025","passed","Mon Jun 16 18:15:39 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation your information form","937","Validation your information form","Surefire suite","Mon Jun 16 18:15:26 GMT 2025","passed","Mon Jun 16 18:15:27 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation shopping cart value","2","Validation shopping cart value","Surefire suite","Mon Jun 16 18:15:14 GMT 2025","unknown","Mon Jun 16 18:15:14 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
